Query,Tool,RunTime,Cost
Total positions,BigQuery,16.86666667,0.908203125
Total Variant Counts,BigQuery,4.133333333,0.003428459
Variant Count per Chr,BigQuery,32.36666667,1.181640625
Variant Count per Genome,BigQuery,21.7,1.181640625
Genotype Distribution,BigQuery,21.03333333,0.99609375
Ti/Tv SNVs,BigQuery,10.93333333,1.181640625
Ti/Tv by Window (100K),BigQuery,3.4,0.003428459
Het/Hom SNVs,BigQuery,13.5,2.172851563
Novel Variants,BigQuery,13.73333333,1.181640625
Private Variants,BigQuery,6.6,1.176757813
Singletons,BigQuery,,0
missingness individual,BigQuery,25.8,2.216796875
missingness site,BigQuery,,0
Sex Check,BigQuery,5.066666667,2.177734375
Hardy-Weinberg,BigQuery,,0
10K Mutation spectra on p53 gene,BigQuery,9.466666667,0
allele frequency,BigQuery,,0
Total positions,VCFtools,,0
Total Variant Counts,VCFtools,,0
Variant Count per Chr,VCFtools,,0
Variant Count per Genome,VCFtools,,0
Genotype Distribution,VCFtools,,0
Ti/Tv SNVs,VCFtools,338,0.450666667
Ti/Tv by Window (100K),VCFtools,374,0.498666667
Het/Hom SNVs,VCFtools,,0
Novel Variants,VCFtools,,0
Private Variants,VCFtools,,0
Singletons,VCFtools,2642,3.522666667
missingness individual,VCFtools,2322,3.096
missingness site,VCFtools,2806,3.741333333
Sex Check,VCFtools,,0
Hardy-Weinberg,VCFtools,3154,4.205333333
10K Mutation spectra on p53 gene,VCFtools,275.9,0.367866667
allele frequency,VCFtools,2749,3.665333333
Total positions,bcftools,129,0.172
Total Variant Counts,bcftools,129,0.172
Variant Count per Chr,bcftools,264.08,0.352106667
Variant Count per Genome,bcftools,1205,1.606666667
Genotype Distribution,bcftools,129,0.172
Ti/Tv SNVs,bcftools,1205,1.606666667
Ti/Tv by Window (100K),bcftools,,0
Het/Hom SNVs,bcftools,1205,1.606666667
Novel Variants,bcftools,,0
Private Variants,bcftools,,0
Singletons,bcftools,1205,1.606666667
missingness individual,bcftools,,0
missingness site,bcftools,,0
Sex Check,bcftools,,0
Hardy-Weinberg,bcftools,,0
10K Mutation spectra on p53 gene,bcftools,,0
allele frequency,bcftools,,0
Total positions,Plink,,0
Total Variant Counts,Plink,,0
Variant Count per Chr,Plink,,0
Variant Count per Genome,Plink,,0
Genotype Distribution,Plink,,0
Ti/Tv SNVs,Plink,,0
Ti/Tv by Window (100K),Plink,,0
Het/Hom SNVs,Plink,,0
Novel Variants,Plink,,0
Private Variants,Plink,,0
Singletons,Plink,,0
missingness individual,Plink,,0
missingness site,Plink,,0
Sex Check,Plink,2.35,0.003133333
Hardy-Weinberg,Plink,,0
10K Mutation spectra on p53 gene,Plink,,0
allele frequency,Plink,,0
